title,line_text
12F,"When loneliness comes stalking, go into the fields, consider"
12F,the orderliness of the world. Notice
12F,"something you have never noticed before,"
12F,like the tambourine sound of the snow-cricket
12F,whose pale green body is no longer than your thumb.
12F,"Stare hard at the hummingbird, in the summer rain,"
12F,shaking the water-sparks from its wings.
12F,"Let grief be your sister, she will whether or no."
12F,"Rise up from the stump of sorrow, and be green also,"
12F,like the diligent leaves.
12F,A lifetime isn’t long enough for the beauty of this world
12F,and the responsibilities of your life.
12F,"Scatter your flowers over the graves, and walk away."
12F,Be good-natured and untidy in your exuberance.
12F,"In the glare of your mind, be modest."
12F,"And beholden to what is tactile, and thrilling."
12F,"Live with the beetle, and the wind."
12F,This is the dark bread of the poem.
12F,This is the dark and nourishing bread of the poem.
1B,"I rose this morning early as usual, and went to my desk."
1B,"But it’s spring,"
1B,"and the thrush is in the woods,"
1B,"somewhere in the twirled branches, and he is singing."
1B,"And so, now, I am standing by the open door."
1B,And now I am stepping down onto the grass.
1B,I am touching a few leaves.
1B,I am noticing the way the yellow butterflies
1B,"move together, in a twinkling cloud, over the field."
1B,And I am thinking: maybe just looking and listening
1B,is the real work.
1B,"Maybe the world, without us,"
1B,is the real poem.
1G,Will the hungry ox stand in the field and not eat
1G,of the sweet grass?
1G,Will the owl bite off its own wings?
1G,Will the lark forget to lift its body in the air or
1G,forget to sing?
1G,Will the rivers run upstream?
1G,"Behold, I say—behold"
1G,the reliability and the finery and the teachings
1G,of this gritty earth gift.
2B,For how many years have you gone through the house
2B,"shutting the windows,"
2B,while the rain was still five miles away
2B,"and veering, o plum-colored clouds, to the north,"
2B,away from you
2B,and you did not even know enough
2B,"to be sorry,"
2B,you were glad
2B,"those silver sheets, with the occasional golden staple,"
2B,"were sweeping on, elsewhere,"
2B,violent and electric and uncontrollable—
2B,and will you find yourself finally wanting to forget
2B,"all enclosures, including"
2B,"the enclosure of yourself, o lonely leaf, and will you"
2B,"dash finally, frantically,"
2B,to the windows and haul them open and lean out
2B,"to the dark, silvered sky, to everything"
2B,"that is beyond capture, shouting"
2B,"I’m here, I’m here! Now, now, now, now, now."
3G,The witchery of living
3G,is my whole conversation
3G,"with you, my darlings."
3G,All I can tell you is what I know.
3G,"Look, and look again."
3G,This world is not just a little thrill for the eyes.
3G,It’s more than bones.
3G,It’s more than the delicate wrist with its personal pulse.
3G,It’s more than the beating of the single heart.
3G,It’s praising.
3G,It’s giving until the giving feels like receiving.
3G,You have a life—just imagine that!
3G,"You have this day, and maybe another, and maybe"
3G,still another.
5S,Two or three times in my life I discovered love.
5S,Each time it seemed to solve everything.
5S,Each time it solved a great many things
5S,but not everything.
5S,"Yet left me as grateful as if it had indeed, and"
5S,"thoroughly, solved everything."
6B,"Count the roses, red and fluttering."
6B,"Count the roses, wrinkled and salt."
6B,Each with its yellow lint at the center.
6B,Each with its honey pooled and ready.
6B,Do you have a question that can’t be answered?
6B,Do the stars frighten you by their heaviness
6B,and their endless number?
6B,"Does it bother you, that mercy is so difficult to"
6B,understand?
6B,For some souls it’s easy; they lie down on the sand
6B,and are soon asleep.
6B,"For others, the mind shivers in its glacial palace,"
6B,and won’t come.
6B,"Yes, the mind takes a long time, is otherwise occupied"
6B,"than by happiness, and deep breathing."
6B,"Now, in the distance, some bird is singing."
6B,"And now I have gathered six or seven deep red,"
6B,"half-opened cups of petals between my hands,"
6B,and now I have put my face against them
6B,"and now I am moving my face back and forth, slowly,"
6B,against them.
6B,The body is not much more than two feet and a tongue.
6B,"Come to me, says the blue sky, and say the word."
6B,"And finally even the mind comes running, like a wild thing,"
6B,and lies down in the sand.
6B,"Eternity is not later, or in any unfindable place."
6B,"Roses, roses, roses, roses."
A MEETING,She steps into the dark swamp
A MEETING,where the long wait ends.
A MEETING,The secret slippery package
A MEETING,drops to the weeds.
A MEETING,She leans her long neck and tongues it
A MEETING,between breaths slack with exhaustion
A MEETING,and after a while it rises and becomes a creature
A MEETING,"like her, but much smaller."
A MEETING,So now there are two. And they walk together
A MEETING,like a dream under the trees.
A MEETING,"In early June, at the edge of a field"
A MEETING,thick with pink and yellow flowers
A MEETING,I meet them.
A MEETING,I can only stare.
A MEETING,She is the most beautiful woman
A MEETING,I have ever seen.
A MEETING,"Her child leaps among the flowers,"
A MEETING,the blue of the sky falls over me
A MEETING,"like silk, the flowers burn, and I want"
A MEETING,"to live my life all over again, to begin again,"
A MEETING,to be utterly
A MEETING,wild.
AM I NOT AMONG THE EARLY RISERS,Am I not among the early risers
AM I NOT AMONG THE EARLY RISERS,and the long-distance walkers?
AM I NOT AMONG THE EARLY RISERS,"Have I not stood, amazed, as I consider"
